resume_skills,ai_vetted_skills,junior_skills,matched_skills_junior,is_passed,non_experienced_skills,matched_skills_non_experienced,total_resume_skills,total_vetted_skills
"ReactJS, NextJS, TypeScript, JavaScript, HTML, CSS, SASS, React Hooks, Redux, Storybook, Microfrontend, ES6, AWS, Python, Linux, Windows, Git, Bitbucket, Jest, Node.js, Express.js, MongoDB, MySQL, Webpack, Babel, VS Code, Jenkins, JIRA, Postman, Azure Boards, GitHub, REST API, Figma, Vite, Context API, JSON, Ant Design, Data Structures, Algorithms, Problem Solving","React: Mid-level | JavaScript: Junior | HTML, CSS: Mid-level",['javascript: junior'],['javascript: junior'],FALSE,[],[],40,3
"React.js, JavaScript, HTML, CSS, Axios, React Router DOM, Redux Toolkit, Ant Design, Material-UI, Toastify, useForm, MS Excel, MS Office, Arduino IDE, MySQL, Machine Learning, Regression, Classification, Ensemble Learning, RMSE, MAE","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],21,3
"React.js, HTML, CSS, Bootstrap, Python, Java, C, MySQL, MongoDB, Node.js, Problem-solving, Communication, Teamwork","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],13,3
"Java, SQL, PostgreSQL, MySQL, NoSQL, MongoDB, Python, JavaScript, HTML, CSS, React, Next.js, Express.js, Node.js, DaisyUI, Aceternity UI, Tailwind CSS, Git, Docker, Vercel, Netlify, Cloudinary, VS Code, IntelliJ, Eclipse, react-redux, react-router-dom, react-hot-toast, .NET, Flask, REST APIs, Ollama, Socket.io","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],33,3
"JavaScript, React, Angular, Next.js, Node.js, TypeScript, GraphQL, Git, Cypress, Playwright, Selenium, MongoDB, MySQL, PL/SQL, Docker, React Native, Expo, Express, Firebase, Puppeteer, Appium, Gatsby.js, Styled Components, CSS Modules, Knex, Apollo, React Hook Form, Redux, Sagas, Formik, Reselect, TypeORM, AirTable, PHP, Ruby, Cucumber, Ag-grid, Plaid API, SCRUM, Google Data Studio, Jira, SOAPUI, Postman, Redux Thunk","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],FALSE,[],[],44,3
"React, HTML, CSS, JavaScript, TypeScript, C#, SQL, EJS, Ajax, Express, Nest.js, jQuery, TypeORM, Sequelize, PostgreSQL, Material UI, Ant Design, Jotai, Firebase, Formik, Yup, Redux, Tailwind CSS, Styled Components, Recharts, ASP.NET Core, Entity Framework, Microsoft SQL Server, Azure DevOps, AWS, CI/CD, LINQ, ASP.NET Framework, Bootstrap, Chakra UI, Git, Axios, Fetch API, Redux Toolkit, JWT, Next.js","React: Junior | JavaScript: Junior | HTML, CSS: Junior","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']","['react: junior', 'javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],41,3
"React.js, NestJS, ExpressJS, Docker, Next.js, PostgreSQL, Python, MySQL, React Native, Expo, Node.js, Vue.js, MongoDB, PHP, Laravel, Symfony, AdonisJS, Linux, CI/CD Pipelines, JavaScript, HTML, CSS, Tailwind, Bootstrap","React: Junior | JavaScript: Junior | HTML, CSS: Not experienced","['react: junior', 'javascript: junior']","['react: junior', 'javascript: junior']",FALSE,"['html: not experienced', 'css: not experienced']","['html: not experienced', 'css: not experienced']",24,3
"Web Development, Database Management, C/C++, Python, HTML, CSS, JavaScript, OpenCV","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],8,3
"Java, HTML, CSS, JavaScript, C#, C, PHP","React: Not experienced | JavaScript: Not experienced | HTML, CSS: Not experienced",[],[],FALSE,"['react: not experienced', 'javascript: not experienced', 'html: not experienced', 'css: not experienced']","['javascript: not experienced', 'html: not experienced', 'css: not experienced']",7,3
"Java, JavaScript, TypeScript, MySQL, HTML, CSS, PHP, Python, MongoDB, Mongoose, Object-Oriented Design, Design Patterns, Spring Boot, Express.js, React.js, Node.js, Laravel, Git, GitHub, REST API, Redux, React Native, Context API, Jest, Enzyme, PWA, FastAPI, GraphQL, Web Components, AWS, Terraform, GitLab, CI/CD, Docker, Kubernetes, Redis, Data Structures and Algorithms, Software Engineering, System Design","React: Mid-level | JavaScript: Mid-level | HTML, CSS: Mid-level",[],[],FALSE,[],[],39,3
"JavaScript, TypeScript, React.js, Redux, Node.js, Next.js, HTML, SaaS, CSS, React Testing Library, Redux Saga, Selenium, Cypress, React Final Form, Firebase, Figma, Postman, TestProject, Agile, Scrum","React: Mid-level | JavaScript: Junior | HTML, CSS: Junior","['javascript: junior', 'html: junior', 'css: junior']","['javascript: junior', 'html: junior', 'css: junior']",FALSE,[],[],20,3
